date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:16	129/129	---M--	200	added ('OK')	text/plain	etag:%2261cc708c-81%22	https://mymeticorereview.gr8.com/robots.txt		(from )
14:38:16	73212/73212	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jan%202022%2009:08:16%20GMT	https://mymeticorereview.gr8.com/	C:/Users/91701/Desktop/altaibalance/meticore/mymeticorereview.gr8.com/index.html	(from )
14:38:17	162/162	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Jan%202022%2009:08:17%20GMT	https://us-as.gr-cdn.com/images/squeeze-page/_external.various.favico.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external.various.favico.0.delayed	(from https://mymeticorereview.gr8.com/)
14:38:17	2560/2560	---M--	200	added ('OK')	image/png	etag:%221dc09d84-a00%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-57x57.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-57x57.png	(from https://mymeticorereview.gr8.com/)
14:38:17	2375/2375	---M--	200	added ('OK')	image/png	etag:%221dc09d84-947%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-60x60.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-60x60.png	(from https://mymeticorereview.gr8.com/)
14:38:17	2998/2998	---M--	200	added ('OK')	image/png	etag:%221dc09d84-bb6%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-72x72.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-72x72.png	(from https://mymeticorereview.gr8.com/)
14:38:17	3297/3297	---M--	200	added ('OK')	image/png	etag:%221dc09d84-ce1%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-76x76.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-76x76.png	(from https://mymeticorereview.gr8.com/)
14:38:18	4322/4322	---M--	200	added ('OK')	image/png	etag:%221dc09d84-10e2%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-114x114.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-114x114.png	(from https://mymeticorereview.gr8.com/)
14:38:18	4552/4552	---M--	200	added ('OK')	image/png	etag:%221dc09d84-11c8%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-120x120.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-120x120.png	(from https://mymeticorereview.gr8.com/)
14:38:18	5777/5777	---M--	200	added ('OK')	image/png	etag:%221dc09d84-1691%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-144x144.png	C:/Users/91701/Desktop/altaibalance/meticore/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-144x144.png	(from https://mymeticorereview.gr8.com/)
